city,program,organization,phone,toll_free_phone,text,email,website,type,note,availability
100 Mile House,100 Mile House Safe Home,Canadian Mental Health Association - South Cariboo Branch,1-800-563-0808,,,safehouse@cmhasouthcariboo.org,https://southcariboo.cmha.bc.ca/,Safe Home,Please ask for the 100 Mile House Safe House program to connected with a local person,FALSE
Abbotsford,Abbotsford Transition House,SARA for Women Society,604-852-6008,,,ATH@saraforwomen.ca,https://saraforwomen.ca/,Transition House,,FALSE
Aldergrove,Libra Transition House,Ishtar Women's Resource Society,604-857-5797,,,info@ishtarsociety.org,https://ishtarsociety.org/,Transition House,,FALSE
Bella Coola,Snxlhh or Nuxalk Transition House,Nuxalk Transition House Society,1-877-799-0070,,,snxlhh53@gmail.com,,Transition House,,FALSE
Burnaby,Dixon Transition House,Dixon Transition Society,604-298-3454,,,th@dixonsociety.ca,https://dixonsociety.ca/,Transition House,,FALSE
Burns Lake,Eagle's Nest Transition House,Prince George and District Elizabeth Fry Society,250-692-5720,,250-692-7559,eaglesnest@pgefry.bc.ca,https://www.pgefry.bc.ca/,Transition House,,FALSE
Campbell River,Ann Elmore Transition House,Campbell River and North Island Transition Society,250-286-3666,1-800-667-2188,250-895-1773,aeh@annelmorehouse.ca,https://www.annelmorehouse.ca/,Transition House,,FALSE
Castlegar,Castlegar Safe Home,The Castlegar and District Community Services Society,250-365-2104,,,lora.plotnikoff@cdcss.ca,https://cdcss.ca/,Safe Home,,FALSE
Chetwynd,Chetwynd Safe Home,South Peace Community Resources Society,250-788-1976,,,safehouse@spcrs.ca,https://www.spcrs.ca/,Safe Home,,FALSE
Chetwynd,Linda Krystina Safe House,The Linda Krystina Housing Society,1-8079 (Call or text),,,srougeau@saulteau.com,https://www.lindakrystina.com/,Safe Home,,FALSE
Chilliwack,Ann Davis Transition House,Ann Davis Transition Society,604-792-3116,,604-819-3557,info@anndavis.org,https://www.anndavis.org/,Transition House,,FALSE
Chilliwack,Ann Davis Women's Centre,Ann Davis Transition Society,604-391-1993,,604-819-3557,info@anndavis.org,https://www.anndavis.org/,Transition House,,FALSE
Chilliwack,Wilma's Transition House,Wilma's Transition Society,604-858-0468,1-888-558-0468,,info@anndavis.org,https://www.wilmastransitionsociety.org/,Transition House,,FALSE
Clearwater,Clearwater Safe Home,Yellowhead Community Services Society,250-674-2135,1-855-674-2135,,info@yellowheadcs.ca,https://www.yellowheadcs.ca/,Safe Home,,FALSE
Coquitlam,Joy's Place,Tri-City Transitions Society,604-492-1700,1-800-563-0808,,info@tricitytransitions.com,https://tricitytransitions.com/,Transition House,,FALSE
Courtenay,Lilli House,Comox Valley Transition Society,250-338-1227,,250-218-4034,lhstaff@cvts.ca,https://cvts.ca/lilli-house/,Transition House,,FALSE
Cranbrook,Kootenay Haven Transition House,Canadian Mental Health Association for the Kootenays,250-426-4887,1-800-200-3003,,khaven@cmhakootenays.org,https://bc.cmha.ca/branches/cmha-kootenays/,Transition House,,FALSE
Creston,Irvine House Safe Home Program,Kootenai Community Centre Society,250-428-6856,,250-402-0068,admin@kccsociety.org,https://www.kootenaicommunitycentre.org/,Safe Home,,FALSE
Dawson Creek,Mizpah Transition House,South Peace Community Resources Society,250-782-9176,,,mizpah@spcrs.ca,https://www.spcrs.ca/,Transition House,,FALSE
Delta,Azure Place,W.I.N.G.S. Fellowship Ministries (Women in Need Gaining Strength),604-957-1556,,,wingshc@azureplace.org,https://www.wingsfellowship.org/,Transition House,,FALSE
Duncan,Somenos Transition House,Cowichan Women Against Violence Society,250-748-8544,,250-701-1563,somenoshouse@cwav.org,https://cwav.org/,Transition House,,FALSE
Duncan,Lelum 'u tu S'tsa'-elh teyt-en (House of Honorable Mothers),Hiiye'yu Lelum (House of Friendship) Society,250-732-7788,,250-748-2242,lstadmin@hofduncan.org,,Transition House,,FALSE
Fernie,Elk Valley Safe Home,Elkford Women's Transition House,250-946-6004,,250-865-2031,elkvalleysafehomes@gmail.com,http://www.ewtfs.ca/,Safe Home,,FALSE
Fort Nelson,FNAFS Women's Transition House,Fort Nelson Aboriginal Friendship Society,250-774-4742,,250-774-2993,wth.fnafs@northwestel.net,https://fnafs.org/,Transition House,,FALSE
Fort St. James,Fireweed Safe Haven,Fireweed Collective Society,250-996-8000,,,,,Transition House,,FALSE
Fort St. John,Meaope Transition house,North Peace Community Resources Society,250-785-5208,,250-785-6021,Meaope@communitybridge.ca,https://communitybridge.ca/,Transition House,,FALSE
Gold River,Gold River Safe Home,Campbell River and North Island Transition Society,250-286-3666,1-800-667-2188,,aeh@annelmorehouse.ca,https://www.annelmorehouse.ca/,Safe Home,,FALSE
Golden,Golden Safe Home,Golden Women's Centre Society,250-344-2101,,250-344-5317,,https://goldenwomencentre.ca/,Safe Home,,FALSE
Grand Forks,Boundary Women's Transition House,Boundary Women's Coalition,250-442-3131,1-855-441-3131,,info@bwcbc.ca,https://www.bwcbc.ca/,Transition House,,FALSE
Hazelton,Cedar Rose,Northern Society for Domestic Peace,778-641-4445,,,,https://domesticpeace.ca/,Transition House,,FALSE
Hope,Jean Scott Transition House,Hope and Area Transition Society,604-869-5191,1-877-869-5191,604-869-1872,info@hopetransition.org,https://hopetransition.org/,Transition House,,FALSE
Invermere,Women's Information and Safe Home (WISH),Family Dynamix Association,250-342-5566,1-800-200-3003,250-341-3963,info@fdx.family,https://familydynamix.ca/,Safe Home,,FALSE
Kamloops,Y Women's Emergency Shelter,Kamloops Community YMCA-YWCA,250-374-6162,,250-682-7931,shelter@kamloopsy.ca,https://www.kamloopsy.org/womenssafety.htm,Transition House,,FALSE
Kaslo,Kaslo Safe Home,North Kootenay Lake Community Services Society,250-353-7691,,250-354-4357 (After hours),office@nklcss.org,https://nklcss.org/,Safe Home,,FALSE
Kelowna,Kelowna Women's Shelter,Central Okanagan Emergency Shelter Society,250-763-1040,,236-970-0704,support@kelownawomensshelter.ca,https://www.kelownawomensshelter.com/,Transition House,,FALSE
Kitimat,Dunmore Place,The Tamitik Status of Women Association,250-632-6070,,,transitionhouse@tamitik.ca,https://tamitik.ca/,Transition House,,FALSE
Langley,Ishtar Transition House,Ishtar Women's Resource Society,604-530-9442,,,info@ishtarsociety.org,https://ishtarsociety.org/,Transition House,,FALSE
Lower Post,Sa-Koh Housing,Lower Post Housing Society,250-779-3078,,,sa-kohhousingmanager@dayludenacouncil.com,,Transition House,,FALSE
Lil??wat Nation,Lil'wat Nation Transition House,Stqaka7stumc - Hold my hand,604-384-7247,1-833-512-0664,,transitionhousesupport@lilwat.ca,,Transition House,,FALSE
Lillooet,Lillooet Safe Home,Lillooet Friendship Centre Society,250-256-4146,,,info@lfcs.ca,http://www.lfcs.ca/,Safe Home,,FALSE
Lytton,Helping Hands Transition House,Hans Knakst Tsitxw Society,778-254-0217,1-800-318-4455,778-254-8582,support@hanknakst.ca,https://hanknakst.ca/,Transition House,,FALSE
Mackenzie,"Jonduh Wuts'uh ""From Here On""",Mackenzie Counselling Services Society,250-997-6595,,,office@mackenziecounselling.ca%C2%A0,https://www.mackenziecounselling.ca/,Safe Home,,FALSE
Maple Ridge,Cythera Transition House,Cythera Transition House Society,604-467-9966,,,reception@cythera.ca,https://www.cythera.ca/,Transition House,,FALSE
Massett,Tlaa Juuhldaa Naay Transition House,Haida Gwaii Society for Community Peace,250-626-4666,1-877-626-4677,250-626-9163,ssw.hgspeace@massett.ca,https://hgscpeace.ca/,Transition House,,FALSE
Mission,Mission Transition House,SARA for Women Society,604-826-7800,,,MTH@saraforwomen.ca,https://saraforwomen.ca/,Transition House,,FALSE
Nakusp,Nakusp Safe Home,Arrow and Slocan Lakes Community Services,250-265-1843,,,,https://aslcs.com/safehome,Safe Home,,FALSE
Nanaimo,Haven House,Haven Society,250-756-0616,1-888-756-0616,250-756-2452,haven@havensociety.com,https://www.havensociety.com/,Transition House,,FALSE
Nanaimo,Cedar Woman House,Snuneymuxw First Nation,250-591-5580,,,cwh@xpey.ca,https://www.cedarwomanhouse.org/,Transition House,,FALSE
Nelson,Aimee Beaulieu Transition House,The Nelson Community Service Society,250-354-4357,,778-608-3900,amaskerine@servicesfyi.ca,https://www.servicesfyi.ca/,Transition House,Chat online: https://www.servicesfyi.ca/abth-chat-now/,FALSE
New Westminster,Monarch Place,W.I.N.G.S. Fellowship Ministries (Women in Need Gaining Strength),604-521-1888,,,wingsmp@monarchplace.org,https://www.wingsfellowship.org/,Transition House,,FALSE
North Vancouver,Sage Transition House,North Shore Crisis Services Society,604-987-3374,,,sage@nscss.net,https://nscss.net/,Transition House,,FALSE
Oliver,Cindy Taylor Safe Home,Desert Sun Counselling & Resource Centre Society,250-485-7777,,250-498-2538,safehome2@desertsun.ca,https://desertsuncounselling.ca/,Safe Home,,FALSE
Parksville,Parksville Safe Home,"Haven Society: Promoting the Safety of Women, Children, Youth and Families",250-586-4718,1-888-756-0616,250-756-0616,,https://www.havensociety.com/parksville-oceanside,Safe Home,,FALSE
Pemberton,Pearl's Safe Home,Howe Sound Women's Centre Society,604-892-5711,1-877-890-5711,,infowhistler@hswc.ca,https://hswc.ca/pearls-safe-home/,Safe Home,,FALSE
Penticton,Hughes House,South Okanagan Women in Need Society,250-493-7233,1-800-814-2033,,info@sowins.com,https://sowins.com/,Transition House,,FALSE
Penticton (on-reserve),Okanagan Nation Emergency Transition House,Okanagan Nation Family Intervention and Services Society,250-493-4902,1-877-493-4909,,admin@onteh.org,https://onteh.org/,Transition House,,FALSE
Port Alberni,Port Alberni Transition House,Sage Haven Society,250-724-2223,,250-206-1011,patransitionhouse@acaws.ca,https://www.acaws.ca/,Transition House,,FALSE
Port Hardy,Port Hardy Safe Home,North Island Crisis and Counselling Centre Society,250-230-1647,,250-949-8333,reception@nicccs.org,https://nicccs.org/,Safe Home,,FALSE
Powell River,Grace House,Powell River and Region Transition House Society,604-485-9773,,604-485-5335,housegrace@telus.net,https://powellrivervictimservices.wordpress.com/,Transition House,,FALSE
Prince George,Dzee Ba'yugh Safe House (Heart House),Carrier Sekani Family Services,778-924-0004,,,dzeeba'yugh@csfs.org,https://www.csfs.org/services/safe-house-dzee-bayugh-heart-house,Safe Home,,FALSE
Prince George,Harmony House Prince George,Phoenix Transition Society,236-423-3335,,,harmony.house@shaw.ca,https://harmonyhousebc.com/,Transition House,,FALSE
Prince George,Phoenix Transition House,Phoenix Transition Society,250-563-7305,,,phoenix.house@shaw.ca,https://www.phoenixtransitionsociety.net/,Transition House,,FALSE
Prince George,Amber House,Prince George and District Elizabeth Fry Society,250-562-5868,1-866-563-1113,,shelter@pgefry.bc.ca,https://www.pgefry.bc.ca/,Transition House,,FALSE
Prince Rupert,Ravens Keep Transition House,North Coast Transition Society,250-627-8588,,250-600-1983,pd@ncts.ca,https://www.ncts.ca/,Transition House,,FALSE
Princeton,Cindy Parolin Safe Home,Princeton Family Services Society,250-295-8211,,250-295-3126,childcareadmin@telus.net,https://pfss.org/,Safe Home,,FALSE
Quesnel,Amata Transition House,Amata Transition House Society,250-992-3385,,250-992-7321,,https://www.facebook.com/amatatransitionhouse/,Transition House,,FALSE
Revelstoke,Forsythe House - A Safe Place,Revelstoke Women's Shelter Society,250-837-1111,,250-837-4382,forsythe@telus.net,https://revelstokewomensshelter.ca/,Transition House,,FALSE
Richmond,Nova Transition House,Chimo Community Services Society,604-270-4911,1-877-374-0742,,chimo@chimoservices.com,https://chimoservices.com/,Transition House,,FALSE
Salmo,Salmo Safe Home,Salmo Community Resource Society,250-357-2277,,,info@scrs.ca,https://scrs.ca/,Safe Home,,FALSE
Salmon Arm,Shuswap & Area Women's Shelter,Shuswap Area Family Emergency Society,250-832-9616,,,outreach@safesociety.ca,https://safesociety.ca/,Transition House,Chat online: https://safesociety.ca/chat/,FALSE
Salt Spring Island,Salt Spring Island Transition House,Islanders Working Against Violence Society,250-537-0735,1-877-435-7544,,outreach@iwav.org,https://iwav.org/,Transition House,,FALSE
Sechelt,Yew Transition House,Sunshine Coast Community Services Society,604-885-2944,1-877-885-2949,604-885-5128,yewtransition@sccss.ca,https://www.sccss.ca/,Transition House,,FALSE
Smithers,Passage Transition House,Northern Society for Domestic Peace,250-847-2595,,,th@domesticpeace.ca,https://domesticpeace.ca/,Transition House,,FALSE
Sooke,Annie's Place,Sooke Transition House Society,250-642-2591,,1-778-966-2591,anniesplacemanager@gmail.com,https://www.sooketransitionhousesociety.com/,Transition House,,FALSE
South Surrey,Ama House for Older Women,Atira Women's Resource Society,604-542-5992,,,amasupport@atira.bc.ca,https://atira.bc.ca/what-we-do/housing/ama-transition-house/,Transition House,,FALSE
Squamish,Pearl's Place Transition House,Howe Sound Women's Centre Society,604-892-5711,1-877-890-5711,,pearlsplace@hswc.ca,https://hswc.ca/supportive-housing/,Transition House,,FALSE
Surrey,Shimai Transition House,Atira Women's Resource Society,604-581-9100,,,shimaisupport@atira.bc.ca,https://atira.bc.ca/what-we-do/housing/shimai-transition-house/,Transition House,,FALSE
Surrey,Maxxine Wright Shelter,Atira Women's Resource Society,604-619-9188,,,mwsheltersupport@atira.bc.ca,https://atira.bc.ca/what-we-do/housing/maxxine-wright-shelter/,Transition House,,FALSE
Surrey/Newton,Virginia Sam Transition House,Options Community Services Society,604-572-5116,,,info@options.bc.ca,https://www.options.bc.ca/,Transition House,,FALSE
Surrey/Whalley,Evergreen Transition House,Options Community Services Society,604-584-3301,,,info@options.bc.ca,https://www.options.bc.ca/,Transition House,,FALSE
Telegraph Creek (on-reserve),Three Sisters Haven House,Tahltan Health and Social Services Authority,250-235-3120,1-888-414-2836,,,,Transition House,,FALSE
Terrace,'Ksan House,Ksan House Society,250-635-6447,,250-641-7233,th@ksansociety.ca,https://ksansociety.com/,Transition House,,FALSE
Trail,WINS Transition House,Trail Family and Individual Resource Centre Society,250-364-1543,,250-364-2326,Hello@trailfair.ca,https://www.trailfair.ca/,Transition House,,FALSE
Tumbler Ridge,Tumbler Ridge Safe Home,South Peace Community Resources Society,250-242-8208,,,trsafehome@spcrs.ca,https://www.spcrs.ca/,Safe Home,,FALSE
Ucluelet,Westcoast Transition House,Westcoast Community Resources Society,250-726-2020,1-877-726-2080,250-266-0187,admin@wccrs.ca,https://wccrs.ca/,Transition House,,FALSE
Valemount,Ada's Place,Robson Valley Community Services Society,1-844-324-2004,,,info@rvcsbc.org,https://robsonvalleycommunityservices.org/,Transition House,,FALSE
Valemount,McBride Safe Home,Robson Valley Community Services Society,1-844-324-2004,,250-569-2266,info@rvcsbc.org,https://robsonvalleycommunityservices.org/,Safe Home,,FALSE
Vancouver,Katherine's House,Atira Women??s Resource Society,778-984-2021,,604-531-6314,,https://atira.bc.ca/,Transition House,,FALSE
Vancouver,Pierce House,Atira Women's Resource Society,604-267-9131,,,,https://atira.bc.ca/,Transition House,,FALSE
Vancouver,Deborah's Gate,Governing Council of the Salvation Army in Canada,604-347-9500,,,referrals@illuminateht.com,https://salvationarmy.ca/about-us/our-organization/governing-council/,Transition House,,FALSE
Vancouver,Kate Booth House,Governing Council of the Salvation Army in Canada,604-872-7774,,604-872-0772,kbhouse@shaw.ca,https://kateboothhouse.com/,Transition House,,FALSE
Vancouver,Helping Spirit Lodge,Helping Spirit Lodge Society,604-872-6649,,604-325-2171,sl.supervisor@hsls.ca,https://hsls.ca/,Transition House,,FALSE
Vancouver,Nisa Home,Nisa Foundation,1-888-456-8043 ext. 402,,,vancouverhome@nisafoundation.ca,https://www.nisafoundation.ca/,Transition House,,FALSE
Vancouver,Peggy's Place,The Kettle Friendship Society,604-430-5202,,,info@thekettle.ca,https://www.thekettle.ca/supportive-housing,Transition House,,FALSE
Vancouver,Vancouver Rape Relief & Women's Shelter,Vancouver Rape Relief Society,604-872-8212,,,info@rapereliefshelter.bc.ca,https://rapereliefshelter.bc.ca/,Transition House,,FALSE
Vanderhoof,Joy Aitkens Safe Home,Omineca Safe Home Society,250-567-9512,,250-567-9959,info@ominecasafehome.ca,https://www.ominecasafehome.ca/,Transition House,,FALSE
Vernon,Vernon Women's Transition House,Archway Society for Domestic Peace,250-542-1122,,,thousestaff@archwaysociety.ca,https://archwaysociety.ca/,Transition House,,FALSE
Victoria,Cridge Transition House for Women,Cridge Centre for the Family,250-479-3963,,,cthw@cridge.org,https://cridge.org/,Transition House,,FALSE
Victoria,Older Women's Safe Home,Victoria Women's Transition House Society,250-385-6611,,250-592-2927,info@vwth.bc.ca,https://www.transitionhouse.net/,Safe Home,,FALSE
Victoria,Victoria Women's Transition House,Victoria Women's Transition House Society,250-385-6611,,250-592-2927,info@vwth.bc.ca,https://www.transitionhouse.net/,Transition House,,FALSE
"Watson Lake, Yukon (also serves Northern B.C.)",Help and Hope Transition House,Help and Hope for Families Society,867-536-7233,,,r.rowlands@helpandhopeforfamilies.ca,https://www.helpandhopeforfamilies.ca/,Transition House,,FALSE
Whistler,Whistler Safe Home,PearlSpace Support Services Society,1-877-890-5711,,,,https://pearlspace.ca/,Safe House,1-877-890-5711 is a 24hr crisis line,FALSE
White Rock,Durrant House,Atira Women's Resource Society,604-531-9151,,,durrantsupport@atira.bc.ca,https://atira.bc.ca/what-we-do/housing/durant-transition-house/,Transition House,,FALSE
Williams Lake,Chiwid Transition House,Cariboo Friendship Society,250-398-5658,,250-398-6831,cariboo.chiwid@shawcable.com,https://cariboofriendshipsociety.ca/,Transition House,,FALSE
